"name";"exchange";"active"
"ADA";"binance";"1"
"ADA";"binancecoinm";"0"
"ADA";"binanceus";"1"
"ADA";"bitcoincom";"1"
"ADA";"bitfinex";"2"
"ADA";"bitfinex2";"0"
"ADA";"bitso";"1"
"ADA";"bitstamp";"1"
"ADA";"bittrex";"1"
"ADA";"blockchaincom";"1"
"ADA";"cex";"1"
"ADA";"coinbaseprime";"1"
"ADA";"coinbasepro";"1"
"ADA";"cryptocom";"1"
"ADA";"exmo";"1"
"ADA";"huobi";"1"
"ADA";"huobipro";"1"
"ADA";"independentreserve";"1"
"ADA";"kraken";"1"
"ADA";"lykke";"1"
"ADA";"okcoin";"0"
"ADA";"whitebit";"1"
"ADA";"zipmex";"0"
"ALGO";"binance";"1"
"ALGO";"binancecoinm";"0"
"ALGO";"binanceus";"1"
"ALGO";"bitcoincom";"1"
"ALGO";"bitfinex";"2"
"ALGO";"bitfinex2";"0"
"ALGO";"bitso";"1"
"ALGO";"bitstamp";"1"
"ALGO";"bittrex";"1"
"ALGO";"blockchaincom";"1"
"ALGO";"cex";"1"
"ALGO";"coinbaseprime";"1"
"ALGO";"coinbasepro";"1"
"ALGO";"cryptocom";"1"
"ALGO";"exmo";"1"
"ALGO";"ftx";"0"
"ALGO";"ftxus";"0"
"ALGO";"huobi";"1"
"ALGO";"huobipro";"1"
"ALGO";"kraken";"1"
"ALGO";"okcoin";"0"
"ALGO";"zipmex";"0"
"ARB";"ascendex";"1"
"ARB";"binance";"1"
"ARB";"binanceus";"1"
"ARB";"bitfinex";"2"
"ARB";"coinbaseprime";"1"
"ARB";"coinbasepro";"1"
"ARB";"cryptocom";"1"
"ARB";"gate";"1"
"ARB";"gateio";"1"
"ARB";"huobi";"1"
"ARB";"huobipro";"1"
"ARB";"kraken";"1"
"ARB";"whitebit";"1"
"AVAX";"ascendex";"1"
"AVAX";"binance";"1"
"AVAX";"binanceus";"1"
"AVAX";"bitbay";"1"
"AVAX";"bitcoincom";"1"
"AVAX";"bitfinex";"2"
"AVAX";"bitso";"1"
"AVAX";"bitstamp";"1"
"AVAX";"bittrex";"1"
"AVAX";"cex";"1"
"AVAX";"coinbaseprime";"1"
"AVAX";"coinbasepro";"1"
"AVAX";"cryptocom";"1"
"AVAX";"currencycom";"1"
"AVAX";"gate";"1"
"AVAX";"gateio";"1"
"AVAX";"gemini";"1"
"AVAX";"huobi";"1"
"AVAX";"huobipro";"1"
"AVAX";"kraken";"1"
"AVAX";"lykke";"1"
"AVAX";"whitebit";"1"
"AVAX";"zonda";"1"
"BCH";"binance";"1"
"BCH";"binancecoinm";"0"
"BCH";"binanceus";"1"
"BCH";"bitcoincom";"1"
"BCH";"bitfinex";"2"
"BCH";"bitfinex2";"0"
"BCH";"bitstamp";"1"
"BCH";"bittrex";"1"
"BCH";"blockchaincom";"1"
"BCH";"cex";"1"
"BCH";"coinbaseprime";"1"
"BCH";"coinbasepro";"1"
"BCH";"cryptocom";"1"
"BCH";"currencycom";"1"
"BCH";"exmo";"1"
"BCH";"ftx";"0"
"BCH";"ftxus";"0"
"BCH";"gate";"1"
"BCH";"gateio";"1"
"BCH";"gemini";"1"
"BCH";"huobi";"1"
"BCH";"huobipro";"1"
"BCH";"independentreserve";"1"
"BCH";"itbit";"0"
"BCH";"kraken";"1"
"BCH";"liquid";"0"
"BCH";"lykke";"1"
"BCH";"yobit";"1"
"BCH";"zipmex";"0"
"BNB";"ascendex";"1"
"BNB";"binance";"1"
"BNB";"binanceus";"1"
"BNB";"bitcoincom";"1"
"BNB";"cex";"1"
